,X,date,mes,weekday,margem,venda,desconto,outdesc,outmg
31,31,20140831,agosto,domingo,427.577.067,58287.78,7.238.729.366,0,0
32,32,20140901,setembro,segunda-feira,378.133.131,83200.8,5.636.335.222,0,0
33,33,20140902,setembro,ter?a-feira,434.358.902,95.449.441,1.097.525.997,0,0
34,34,20140903,setembro,quarta-feira,409.208.109,86219.96,7.407.436.157,0,0
35,35,20140904,setembro,quinta-feira,404.937.693,99481,8.882.818.775,0,0
36,36,20140905,setembro,sexta-feira,410.920.173,78.161.402,8.091.206.437,0,0
37,37,20140906,setembro,s?bado,434.788.608,47923.57,5.140.924.183,0,0
38,38,20140907,setembro,domingo,454.363.146,71299.95,8.417.054.183,0,0
39,39,20140908,setembro,segunda-feira,424.794.221,132.714.348,1.009.263.725,0,0
40,40,20140909,setembro,ter?a-feira,419.894.986,116.064.691,1.492.458.042,0,0
41,41,20140910,setembro,quarta-feira,437.218.398,106.621.581,1.226.311.316,0,0
42,42,20140911,setembro,quinta-feira,436.279.136,112.081.097,9.970.126.032,0,0
43,43,20140912,setembro,sexta-feira,428.236.025,83.360.064,8.355.289.874,0,0
44,44,20140913,setembro,s?bado,417.382.013,40549.12,297.216.777,0,0
45,45,20140914,setembro,domingo,447.915.244,55400.54,5.079.430.042,0,0
46,46,20140915,setembro,segunda-feira,447.380.723,125.215.452,1.317.806.285,0,0
47,47,20140916,setembro,ter?a-feira,428.349.217,82.578.812,8.047.468.174,0,0
48,48,20140917,setembro,quarta-feira,449.510.398,83.361.636,1.159.508.334,0,0
49,49,20140918,setembro,quinta-feira,477.227.487,97.541.166,1.895.878.539,0,0
50,50,20140919,setembro,sexta-feira,451.735.101,91881.56,1.437.433.536,0,0
51,51,20140920,setembro,s?bado,470.127.148,56999.32,100.936.728,0,0
52,52,20140921,setembro,domingo,431.191.244,56654,6.728.231.547,0,0
53,53,20140922,setembro,segunda-feira,459.462.824,141.308.308,2.580.969.223,1,0
54,54,20140923,setembro,ter?a-feira,459.084.725,116.643.092,1.783.511.358,0,0
55,55,20140924,setembro,quarta-feira,470.197.891,109.316.834,2.067.026.064,0,0
56,56,20140925,setembro,quinta-feira,420.557.769,89637.44,1.383.699.249,0,0
57,57,20140926,setembro,sexta-feira,43.214.112,73013.84,8.151.970.002,0,0
58,58,20140927,setembro,s?bado,424.202.958,55986.72,924.905.578,0,0
59,59,20140928,setembro,domingo,418.470.899,79482.6,1.111.838.019,0,0
60,60,20140929,setembro,segunda-feira,435.713.301,140.869.632,2.213.210.361,0,0
61,61,20140930,setembro,ter?a-feira,421.733.549,108458.83,1.422.818.295,0,0
62,62,20141001,outubro,quarta-feira,46.765.071,131995.2,2.186.888.528,0,0
63,63,20141002,outubro,quinta-feira,434.896.558,98.759.118,1.253.878.786,0,0
64,64,20141003,outubro,sexta-feira,472.685.114,102.928.196,1.414.617.955,0,0
65,65,20141004,outubro,s?bado,467.799.143,47364.26,6.031.043.362,0,0
66,66,20141005,outubro,domingo,456.387.664,62724.94,9.121.092.116,0,0
67,67,20141006,outubro,segunda-feira,435.425.039,114.038.216,1.277.798.288,0,0
68,68,20141007,outubro,ter?a-feira,455.724.905,107232.39,1.093.908.504,0,0
69,69,20141008,outubro,quarta-feira,45.221.968,105.252.748,1.304.142.268,0,0
70,70,20141009,outubro,quinta-feira,472.497.595,90.520.242,1.181.161.817,0,0
71,71,20141010,outubro,sexta-feira,459.670.165,89.928.334,1.234.091.021,0,0
72,72,20141011,outubro,s?bado,500.692.175,69214.32,1.372.611.177,0,0
73,73,20141012,outubro,domingo,455.339.801,53262.04,725.298.798,0,0
74,74,20141013,outubro,segunda-feira,418.894.466,135.542.624,1.064.747.658,0,0
75,75,20141014,outubro,ter?a-feira,443.414.523,92.869.486,8.618.080.945,0,0
76,76,20141015,outubro,quarta-feira,430.574.491,85436.66,7.721.337.731,0,0
77,77,20141016,outubro,quinta-feira,449.559.117,92.634.124,1.007.878.744,0,0
78,78,20141017,outubro,sexta-feira,432.113.121,68.685.454,3.737.716.363,0,0
79,79,20141018,outubro,s?bado,503.328.277,57874.4,1.041.177.685,0,0
80,80,20141019,outubro,domingo,475.314.157,73788.74,9.939.120.504,0,0
81,81,20141020,outubro,segunda-feira,431.853.681,115.093.184,1.111.752.497,0,0
82,82,20141021,outubro,ter?a-feira,461.493.591,110.626.768,1.243.901.494,0,0
83,83,20141022,outubro,quarta-feira,446.936.077,114.132.922,1.399.687.542,0,0
84,84,20141023,outubro,quinta-feira,514.174.268,133.400.418,160.937.631,0,0
85,85,20141024,outubro,sexta-feira,463.439.424,104.699.216,1.379.586.287,0,0
86,86,20141025,outubro,s?bado,488.191.461,64437.56,116.977.415,0,0
87,87,20141026,outubro,domingo,442.342.263,61341.82,914.135.115,0,0
88,88,20141027,outubro,segunda-feira,438.941.349,1.106.562.925,1.091.874.742,0,0
89,89,20141028,outubro,ter?a-feira,454.956.886,108.895.756,1.186.702.717,0,0
90,90,20141029,outubro,quarta-feira,474.327.244,1.064.451.389,1.297.712.989,0,0
91,91,20141030,outubro,quinta-feira,45.402.222,1.005.180.757,1.252.259.489,0,0
92,92,20141031,outubro,sexta-feira,474.889.638,86.519.922,7.738.348.789,0,0
93,93,20141101,novembro,s?bado,456.596.954,51102.63,5.033.787.795,0,0
94,94,20141102,novembro,domingo,444.361.779,73211.56,7.848.097.174,0,0
95,95,20141103,novembro,segunda-feira,441.816.598,120.428.034,1.260.490.823,0,0
96,96,20141104,novembro,ter?a-feira,435.185.023,143.670.688,1.748.404.584,0,0
97,97,20141105,novembro,quarta-feira,437.199.354,125.676.342,1.313.119.197,0,0
98,98,20141106,novembro,quinta-feira,447.895.125,102.142.552,1.225.785.483,0,0
99,99,20141107,novembro,sexta-feira,431.752.226,78.466.986,808.704.093,0,0
100,100,20141108,novembro,s?bado,436.743.493,49464.52,6.018.145.331,0,0
101,101,20141109,novembro,domingo,442.280.887,79903.59,1.019.239.168,0,0
102,102,20141110,novembro,segunda-feira,437.481.017,129.544.778,1.251.990.619,0,0
103,103,20141111,novembro,ter?a-feira,420.209.806,102.310.059,7.904.829.905,0,0
104,104,20141112,novembro,quarta-feira,428.077.514,1.058.614.763,778.468.973,0,0
105,105,20141113,novembro,quinta-feira,437.637.946,897.864.564,9.300.569.967,0,0
106,106,20141114,novembro,sexta-feira,421.260.014,669.423.065,6.010.998.138,0,0
107,107,20141115,novembro,s?bado,434.237.802,39676.31,5.572.647.248,0,0
108,108,20141116,novembro,domingo,440.220.762,73051.17,1.063.203.809,0,0
109,109,20141117,novembro,segunda-feira,424.618.289,1.284.592.348,1.214.555.409,0,0
110,110,20141118,novembro,ter?a-feira,416.131.826,912.963.137,7.634.068.362,0,0
111,111,20141119,novembro,quarta-feira,431.397.626,924.949.908,8.816.186.047,0,0
112,112,20141120,novembro,quinta-feira,414.330.014,718.830.204,733.677.155,0,0
113,113,20141121,novembro,sexta-feira,422.762.132,681.146.709,6.911.150.978,0,0
114,114,20141122,novembro,s?bado,464.443.389,49668.16,6.384.449.572,0,0
115,115,20141123,novembro,domingo,467.568.335,55659.88,8.080.095.634,0,0
116,116,20141124,novembro,segunda-feira,412.207.189,969.020.846,7.744.978.711,0,0
117,117,20141125,novembro,ter?a-feira,417.966.604,802.123.353,9.391.815.403,0,0
118,118,20141126,novembro,quarta-feira,420.460.552,906.041.211,9.788.852.234,0,0
119,119,20141127,novembro,quinta-feira,379.258.228,1.150.984.939,1.120.708.256,0,0
120,120,20141128,novembro,sexta-feira,343.822.387,5.770.173.896,4.845.440.708,1,0
121,121,20141129,novembro,s?bado,355.572.168,201000.33,1.824.748.092,0,0
122,122,20141130,novembro,domingo,355.137.498,116377.13,8.964.718.238,0,0
123,123,20141201,dezembro,segunda-feira,346.917.592,1.867.587.249,1.332.062.818,0,0
124,124,20141202,dezembro,ter?a-feira,368.444.293,1.183.771.168,7.188.306.069,0,0
125,125,20141203,dezembro,quarta-feira,392.301.963,103.792.437,899.312.138,0,0
126,126,20141204,dezembro,quinta-feira,379.968.644,724.095.311,5.328.906.706,0,0
127,127,20141205,dezembro,sexta-feira,400.020.087,73396.81,6.237.234.764,0,0
128,128,20141206,dezembro,s?bado,415.121.844,51462.06,6.011.867.898,0,0
129,129,20141207,dezembro,domingo,369.130.369,52047.66,3.467.689.704,0,0
130,130,20141208,dezembro,segunda-feira,412.884.514,116967.93,9.124.581.176,0,0
131,131,20141209,dezembro,ter?a-feira,399.404.728,868.295.462,829.550.563,0,0
132,132,20141210,dezembro,quarta-feira,371.493.376,66758.82,4.683.100.011,0,0
133,133,20141211,dezembro,quinta-feira,387.072.435,89955.95,9.904.906.189,0,0
134,134,20141212,dezembro,sexta-feira,366.485.471,64306.46,428.164.904,0,0
135,135,20141213,dezembro,s?bado,39.924.209,46546.2,3.712.369.737,0,0
136,136,20141214,dezembro,domingo,382.932.062,52722.25,4.138.105.745,0,0
137,137,20141215,dezembro,segunda-feira,367.337.286,124.385.554,9.705.093.615,0,0
138,138,20141216,dezembro,ter?a-feira,382.322.335,116.161.944,1.119.673.005,0,0
139,139,20141217,dezembro,quarta-feira,381.193.985,99.144.772,9.466.031.146,0,0
140,140,20141218,dezembro,quinta-feira,376.627.264,85987.9,9.260.527.405,0,0
141,141,20141219,dezembro,sexta-feira,358.405.413,62657.41,5.137.351.608,0,0
142,142,20141220,dezembro,s?bado,365.775.902,33564.5,3.460.031.104,0,0
143,143,20141221,dezembro,domingo,359.916.253,48635.9,4.132.501.753,0,0
144,144,20141222,dezembro,segunda-feira,342.698.506,59390.4,3.364.668.079,0,0
145,145,20141223,dezembro,ter?a-feira,333.302.194,77.819.608,5.913.384.692,0,0
146,146,20141224,dezembro,quarta-feira,308.749.748,44153.33,2.412.433.966,0,1
147,147,20141225,dezembro,quinta-feira,329.309.509,35590.01,3.257.385.504,0,0
148,148,20141226,dezembro,sexta-feira,326.967.658,92215.33,681.319.338,0,0
149,149,20141227,dezembro,s?bado,343.193.793,71988.35,5.259.169.869,0,0
150,150,20141228,dezembro,domingo,290.703.388,28421.2,1033.59,0,1
151,151,20141229,dezembro,segunda-feira,343.075.719,90.091.964,6.408.318.718,0,0
152,152,20141230,dezembro,ter?a-feira,386.549.622,59880.96,7.414.770.105,0,0
153,153,20141231,dezembro,quarta-feira,342.505.053,42261.7,4.497.686.094,0,0
154,154,20150101,janeiro,quinta-feira,383.056.597,30901.45,1.765.353.208,0,0
155,155,20150102,janeiro,sexta-feira,357.612.575,75801.64,4.106.619.818,0,0
156,156,20150103,janeiro,s?bado,378.214.313,41756,3.779.602.855,0,0
157,157,20150104,janeiro,domingo,382.188.813,46332.9,3.559.789.449,0,0
158,158,20150105,janeiro,segunda-feira,359.743.777,153.574.874,9.093.071.809,0,0
159,159,20150106,janeiro,ter?a-feira,35.369.277,170.019.948,1.176.771.083,0,0
160,160,20150107,janeiro,quarta-feira,363.274.724,126.650.842,8.598.126.306,0,0
161,161,20150108,janeiro,quinta-feira,356.775.476,127.614.998,9.701.565.712,0,0
162,162,20150109,janeiro,sexta-feira,38.013.983,104789.04,9.431.610.165,0,0
163,163,20150110,janeiro,s?bado,414.123.773,43308.1,3.530.425.504,0,0
164,164,20150111,janeiro,domingo,395.661.127,54593.31,4.228.279.086,0,0
165,165,20150112,janeiro,segunda-feira,361.275.179,139432.33,7.185.159.087,0,0
166,166,20150113,janeiro,ter?a-feira,360.495.219,142.889.532,1.049.266.416,0,0
167,167,20150114,janeiro,quarta-feira,381.272.924,90.749.996,7.407.614.346,0,0
168,168,20150115,janeiro,quinta-feira,393.490.531,88990.51,6.585.661.767,0,0
169,169,20150116,janeiro,sexta-feira,421.317.301,105553.36,8.131.099.355,0,0
170,170,20150117,janeiro,s?bado,415.119.896,40232.55,4.445.672.833,0,0
171,171,20150118,janeiro,domingo,387.538.697,53553.3,3.629.077.983,0,0
172,172,20150119,janeiro,segunda-feira,374.114.089,134.210.386,7.521.264.979,0,0
173,173,20150120,janeiro,ter?a-feira,391.213.011,108461.01,6.525.353.166,0,0
174,174,20150121,janeiro,quarta-feira,373.712.548,110.959.488,7.445.808.114,0,0
175,175,20150122,janeiro,quinta-feira,383.539.571,86.276.312,4.279.871.596,0,0
176,176,20150123,janeiro,sexta-feira,390.372.063,71.397.804,5.592.370.938,0,0
177,177,20150124,janeiro,s?bado,379.596.138,56195.35,3.637.797.193,0,0
178,178,20150125,janeiro,domingo,36.933.158,93749.92,6.053.886.969,0,0
179,179,20150126,janeiro,segunda-feira,379.715.284,142.751.516,914.656.488,0,0
180,180,20150127,janeiro,ter?a-feira,396.818.309,120.867.842,8.266.667.201,0,0
181,181,20150128,janeiro,quarta-feira,370.915.921,114532.51,828.805.454,0,0
182,182,20150129,janeiro,quinta-feira,384.911.463,114.519.224,9.474.697.409,0,0
183,183,20150130,janeiro,sexta-feira,40.707.314,87932.18,8.017.649.567,0,0
184,184,20150131,janeiro,s?bado,413.251.812,57547.21,7.522.268.136,0,0
185,185,20150201,fevereiro,domingo,36.157.736,128126.11,6.640.479.638,0,0
186,186,20150202,fevereiro,segunda-feira,391.086.038,113486.58,1.013.079.509,0,0
187,187,20150203,fevereiro,ter?a-feira,410.486.045,128266.65,1.155.754.715,0,0
188,188,20150204,fevereiro,quarta-feira,419.385.651,86936.09,702.714.988,0,0
189,189,20150205,fevereiro,quinta-feira,41.162.624,63860.51,4.816.120.706,0,0
190,190,20150206,fevereiro,sexta-feira,416.143.015,75247.19,9.025.689.048,0,0
191,191,20150207,fevereiro,s?bado,420.297.711,49315.01,3.189.070.318,0,0
192,192,20150208,fevereiro,domingo,399.252.987,39117.48,2.495.669.509,0,0
193,193,20150209,fevereiro,segunda-feira,393.061.656,98625.86,5.748.442.338,0,0
194,194,20150210,fevereiro,ter?a-feira,373.587.586,94561.5,4.678.106.703,0,0
195,195,20150211,fevereiro,quarta-feira,380.162.133,127803.59,1.110.053.176,0,0
196,196,20150212,fevereiro,quinta-feira,399.941.152,95920.64,5.146.263.997,0,0
197,197,20150213,fevereiro,sexta-feira,425.003.265,88014.5,7.501.202.752,0,0
198,198,20150214,fevereiro,s?bado,38.083.393,39914.51,868.22,0,0
199,199,20150215,fevereiro,domingo,38.956.722,38926.34,3.280.841.569,0,0
200,200,20150216,fevereiro,segunda-feira,403.068.228,64279.08,3.707.798.029,0,0
201,201,20150217,fevereiro,ter?a-feira,421.446.654,75519.41,6.446.061.569,0,0
202,202,20150218,fevereiro,quarta-feira,403.054.676,108388.47,8.740.748.261,0,0
203,203,20150219,fevereiro,quinta-feira,398.600.713,93168.37,7.182.175.153,0,0
204,204,20150220,fevereiro,sexta-feira,402.032.743,82177.15,6.213.461.323,0,0
205,205,20150221,fevereiro,s?bado,422.029.052,90980.57,9.301.543.899,0,0
206,206,20150222,fevereiro,domingo,412.946.457,77753.41,6673.97,0,0
207,207,20150223,fevereiro,segunda-feira,378.710.606,115394.33,5.617.688.693,0,0
208,208,20150224,fevereiro,ter?a-feira,386.864.943,71912.12,4476.59,0,0
209,209,20150225,fevereiro,quarta-feira,391.708.223,78493.49,4.713.936.545,0,0
210,210,20150226,fevereiro,quinta-feira,402.556.542,83406.12,5.333.873.343,0,0
211,211,20150227,fevereiro,sexta-feira,400.791.293,68459.11,4080.2,0,0
212,212,20150228,fevereiro,s?bado,369.943.756,25577.87,1227.97,0,0
213,213,20150301,mar?o,domingo,448.912.307,58301.79,6850.96,0,0
214,214,20150302,mar?o,segunda-feira,422.104.607,110798.91,8409.66,0,0
215,215,20150303,mar?o,ter?a-feira,400.767.071,91517.61,5337.61,0,0
216,216,20150304,mar?o,quarta-feira,395.225.844,97908.83,6.920.359.782,0,0
217,217,20150305,mar?o,quinta-feira,367.358.412,83553.81,440.384.333,0,0
218,218,20150306,mar?o,sexta-feira,39.500.031,76637.15,2.993.690.187,0,0
219,219,20150307,mar?o,s?bado,35.384.327,80674.21,2560.65,0,0
220,220,20150308,mar?o,domingo,378.440.235,107011.29,7.156.815.727,0,0
221,221,20150309,mar?o,segunda-feira,384.470.048,97772.46,4.022.652.299,0,0
222,222,20150310,mar?o,ter?a-feira,382.424.208,89438.21,2098.5,0,0
223,223,20150311,mar?o,quarta-feira,389.859.695,82462.9,5064,0,0
224,224,20150312,mar?o,quinta-feira,395.214.886,73135.26,4.267.258.569,0,0
225,225,20150313,mar?o,sexta-feira,378.442.675,99304.23,3787.87,0,0
226,226,20150314,mar?o,s?bado,351.437.659,93126.98,5055.65,0,0
227,227,20150315,mar?o,domingo,371.224.172,146136.04,839.222.054,0,0
228,228,20150316,mar?o,segunda-feira,398.705.061,127568.77,6.695.101.252,0,0
229,229,20150317,mar?o,ter?a-feira,400.773.097,104252.62,4.664.687.659,0,0
230,230,20150318,mar?o,quarta-feira,376.345.737,146107.41,12417.95,0,0
231,231,20150319,mar?o,quinta-feira,379.950.254,132064.2,1.048.907.753,0,0
232,232,20150320,mar?o,sexta-feira,363.751.807,69471.1,3.986.971.358,0,0
233,233,20150321,mar?o,s?bado,408.560.827,41756.5,2.560.658.303,0,0
234,234,20150322,mar?o,domingo,367.019.324,56683.8,2.912.253.343,0,0
235,235,20150323,mar?o,segunda-feira,399.111.891,100315.47,5.919.674.304,0,0
236,236,20150324,mar?o,ter?a-feira,405.495.778,80282.4,6.385.873.738,0,0
237,237,20150325,mar?o,quarta-feira,384.032.162,69569.98,3.464.419.872,0,0
238,238,20150326,mar?o,quinta-feira,412.651.617,59351.74,4.750.359.872,0,0
239,239,20150327,mar?o,sexta-feira,404.515.649,48682.25,212.180.951,0,0
240,240,20150328,mar?o,s?bado,425.726.468,47117.7,3.856.386.532,0,0
241,241,20150329,mar?o,domingo,414.183.285,53897.52,2.248.269.872,0,0
242,242,20150330,mar?o,segunda-feira,412.706.086,92303.2,510.274.333,0,0
243,243,20150331,mar?o,ter?a-feira,399.198.744,72182.11,4.415.436.606,0,0
244,244,20150401,abril,quarta-feira,39.532.591,62594.16,3.838.723.142,0,0
245,245,20150402,abril,quinta-feira,387.644.903,55886.29,1920.49,0,0
246,246,20150403,abril,sexta-feira,37.055.086,46416.21,681.77,0,0
247,247,20150404,abril,s?bado,403.237.308,38755.26,2176.45,0,0
248,248,20150405,abril,domingo,351.693.836,52526.48,1.019.831.928,0,0
249,249,20150406,abril,segunda-feira,404.882.348,111674.45,6304.4,0,0
250,250,20150407,abril,ter?a-feira,410.728.302,86726.36,3.514.186.961,0,0
251,251,20150408,abril,quarta-feira,419.453.721,131781.11,6.750.424.624,0,0
252,252,20150409,abril,quinta-feira,423.184.274,83161.95,2993,0,0
253,253,20150410,abril,sexta-feira,427.201.456,46695.55,2397.33,0,0
254,254,20150411,abril,s?bado,412.004.378,62990.47,5241.14,0,0
255,255,20150412,abril,domingo,362.881.726,50536.43,1473.32,0,0
256,256,20150413,abril,segunda-feira,421.022.072,176301,8068.99,0,0
257,257,20150414,abril,ter?a-feira,394.913.829,75279.6,3632.03,0,0
258,258,20150415,abril,quarta-feira,41.776.296,62295.5,3855.79,0,0
259,259,20150416,abril,quinta-feira,430.695.572,116036.6,5.339.558.569,0,0
260,260,20150417,abril,sexta-feira,43.373.777,98250.85,4042.39,0,0
261,261,20150418,abril,s?bado,428.709.523,49899.56,4.074.938.282,0,0
262,262,20150419,abril,domingo,420.289.106,32422.7,2233.61,0,0
263,263,20150420,abril,segunda-feira,431.593.119,67433.3,4831.71,0,0
264,264,20150421,abril,ter?a-feira,438.497.296,48818.12,3.804.237.703,0,0
265,265,20150422,abril,quarta-feira,425.149.824,76607.1,3782.3,0,0
266,266,20150423,abril,quinta-feira,443.999.966,57949.1,3750.7,0,0
267,267,20150424,abril,sexta-feira,414.763.685,36377.81,1702.84,0,0
268,268,20150425,abril,s?bado,420.804.057,30649.45,1375.35,0,0
269,269,20150426,abril,domingo,476.418.596,37876.15,2874.06,0,0
270,270,20150427,abril,segunda-feira,425.023.254,60738.7,1528.38,0,0
271,271,20150428,abril,ter?a-feira,415.351.121,76321.62,1891.88,0,0
272,272,20150429,abril,quarta-feira,455.966.835,96921.06,6600.87,0,0
273,273,20150430,abril,quinta-feira,416.611.071,48761.95,3165.9,0,0
274,274,20150501,maio,sexta-feira,443.346.361,28994.75,2159,0,0
275,275,20150502,maio,s?bado,418.216.952,32147.74,665,0,0
276,276,20150503,maio,domingo,42.366.082,41854.66,2625.68,0,0
277,277,20150504,maio,segunda-feira,428.477.517,135369.61,5985.06,0,0
278,278,20150505,maio,ter?a-feira,414.874.738,108558.97,4.070.513.017,0,0
279,279,20150506,maio,quarta-feira,415.284.531,56590.84,4015.07,0,0
280,280,20150507,maio,quinta-feira,385.437.251,37027.89,1393.43,0,0
281,281,20150508,maio,sexta-feira,441.275.309,47729.71,4240.25,0,0
282,282,20150509,maio,s?bado,480.178.285,25510.35,1442,0,0
283,283,20150510,maio,domingo,414.066.335,25468.95,800,0,0
284,284,20150511,maio,segunda-feira,433.647.092,54445.3,1682.05,0,0
285,285,20150512,maio,ter?a-feira,438.712.333,54543.65,3049.04,0,0
286,286,20150513,maio,quarta-feira,40.340.921,55774.84,2307.36,0,0
287,287,20150514,maio,quinta-feira,414.876.306,31541.53,863.8,0,0
288,288,20150515,maio,sexta-feira,465.049.738,41235.45,2267.1,0,0
289,289,20150516,maio,s?bado,432.871.773,16508.67,703.62,0,0
290,290,20150517,maio,domingo,438.655.147,35129.79,312.48,0,0
291,291,20150518,maio,segunda-feira,445.747.832,56392.73,2994.09,0,0
292,292,20150519,maio,ter?a-feira,46.497.213,79238.23,2629.35,0,0
293,293,20150520,maio,quarta-feira,450.011.917,77807.74,2162.17,0,0
294,294,20150521,maio,quinta-feira,428.493.692,77933.54,2.500.588.569,0,0
295,295,20150522,maio,sexta-feira,411.639.131,47408.85,1907.97,0,0
296,296,20150523,maio,s?bado,39.545.559,23733.2,149,0,0
297,297,20150524,maio,domingo,441.310.715,35361.77,2304.66,0,0
298,298,20150525,maio,segunda-feira,42.559.114,56459.3,1949.67,0,0
299,299,20150526,maio,ter?a-feira,426.193.822,47821.69,1414.47,0,0
300,300,20150527,maio,quarta-feira,438.328.267,47781.29,2044.33,0,0
301,301,20150528,maio,quinta-feira,441.513.258,59683.92,4.207.821.834,0,0
302,302,20150529,maio,sexta-feira,441.648.902,67354.02,1511.53,0,0
303,303,20150530,maio,s?bado,472.268.258,28165.64,2086.15,0,0
304,304,20150531,maio,domingo,408.909,33082.37,616.43,0,0
305,305,20150601,junho,segunda-feira,440.995.577,57781.77,3475.81,0,0
306,306,20150602,junho,ter?a-feira,421.868.158,61722.2,2347.43,0,0
307,307,20150603,junho,quarta-feira,383.117.806,58310.42,1877.17,0,0
308,308,20150604,junho,quinta-feira,43.308.334,30539.08,314,0,0
309,309,20150605,junho,sexta-feira,437.384.701,70765.74,659.725.717,0,0
310,310,20150606,junho,s?bado,406.353.522,44144.91,1854.13,0,0
311,311,20150607,junho,domingo,435.097.264,43181.56,3511.32,0,0
312,312,20150608,junho,segunda-feira,400.497.479,47884.16,1038.43,0,0
313,313,20150609,junho,ter?a-feira,411.995.722,61615.73,3999.35,0,0
314,314,20150610,junho,quarta-feira,370.160.541,49209.38,6.319.465.061,0,0
315,315,20150611,junho,quinta-feira,448.022.331,50960.49,4421.81,0,0
316,316,20150612,junho,sexta-feira,395.735.378,44573.5,1207.85,0,0
317,317,20150613,junho,s?bado,423.702.677,44124.84,2874.1,0,0
318,318,20150614,junho,domingo,423.873.535,41382.69,1874.72,0,0
319,319,20150615,junho,segunda-feira,395.148.285,74995.26,1689.79,0,0
320,320,20150616,junho,ter?a-feira,382.836.804,56714.64,1710.77,0,0
321,321,20150617,junho,quarta-feira,403.849.554,55074,2009.05,0,0
322,322,20150618,junho,quinta-feira,433.086.671,83976.82,6106.8,0,0
323,323,20150619,junho,sexta-feira,427.758.524,49084.06,4533.92,0,0
324,324,20150620,junho,s?bado,414.386.375,24102.45,399.21,0,0
325,325,20150621,junho,domingo,431.570.614,38512.25,2488.06,0,0
326,326,20150622,junho,segunda-feira,40.300.644,51316.51,1898.55,0,0
327,327,20150623,junho,ter?a-feira,407.778.997,62968.55,2518.74,0,0
328,328,20150624,junho,quarta-feira,451.005.341,63382.83,3794.41,0,0
329,329,20150625,junho,quinta-feira,413.368.195,52773.09,2199.44,0,0
330,330,20150626,junho,sexta-feira,44.806.908,47910.24,3304.87,0,0
331,331,20150627,junho,s?bado,386.877.729,21234.24,403.65,0,0
332,332,20150628,junho,domingo,405.112.636,24655.52,1498.13,0,0
333,333,20150629,junho,segunda-feira,422.249.749,72156.32,2443.3,0,0
334,334,20150630,junho,ter?a-feira,431.749.696,65285.52,5102.11,0,0
335,335,20150701,julho,quarta-feira,482.917.949,66499.88,8.119.455.121,0,0
336,336,20150702,julho,quinta-feira,441.774.709,56121.85,6.221.748.569,0,0
337,337,20150703,julho,sexta-feira,438.131.067,43166.14,5425.13,0,0
338,338,20150704,julho,s?bado,414.694.606,39549.3,3702.52,0,0
339,339,20150705,julho,domingo,451.788.033,38837.98,3769.28,0,0
340,340,20150706,julho,segunda-feira,442.472.391,61044.88,5536.33,0,0
341,341,20150707,julho,ter?a-feira,422.227.783,51054.73,3.129.403.658,0,0
